indexDate;indexValue;changeRateVormonat;changeRateVorjahresmonat
Jan 99;938.5;0.2;0.1
Feb 99;941.7;0.3;0.3
Mär 99;942.7;0.1;0.5
Apr 99;944.3;0.2;0.6
Mai 99;942.1;-0.2;0.6
Jun 99;943.2;0.1;0.6
Jul 99;943.5;0;0.7
Aug 99;948.1;0.5;0.9
Sep 99;949.9;0.2;1.2
Okt 99;949.9;0;1.2
Nov 99;949;-0.1;1.3
Dez 99;952.2;0.3;1.7
Jan 00;953.4;0.1;1.6
Feb 00;957;0.4;1.6
Mär 00;956.7;0;1.5
Apr 00;957.5;0.1;1.4
Mai 00;957;0;1.6
Jun 00;960.6;0.4;1.8
Jul 00;961.3;0.1;1.9
Aug 00;958.8;-0.3;1.1
Sep 00;963.6;0.5;1.4
Okt 00;962.6;-0.1;1.3
Nov 00;967.2;0.5;1.9
Dez 00;966.4;-0.1;1.5
Jan 01;965.8;-0.1;1.3
Feb 01;964.4;-0.1;0.8
Mär 01;966;0.2;1
Apr 01;968.7;0.3;1.2
Mai 01;973.9;0.5;1.8
Jun 01;975.8;0.2;1.6
Jul 01;974.3;-0.2;1.4
Aug 01;968.9;-0.6;1.1
Sep 01;970.1;0.1;0.7
Okt 01;968.7;-0.2;0.6
Nov 01;969.9;0.1;0.3
Dez 01;969.6;0;0.3
Jan 02;970.8;0.1;0.5
Feb 02;970.8;0;0.7
Mär 02;970.9;0;0.5
Apr 02;979.3;0.9;1.1
Mai 02;980.2;0.1;0.6
Jun 02;978.9;-0.1;0.3
Jul 02;973.8;-0.5;-0.1
Aug 02;973.5;0;0.5
Sep 02;974.9;0.2;0.5
Okt 02;980.6;0.6;1.2
Nov 02;978.8;-0.2;0.9
Dez 02;978.2;-0.1;0.9
Jan 03;979;0.1;0.8
Feb 03;980;0.1;0.9
Mär 03;983.9;0.4;1.3
Apr 03;985.9;0.2;0.7
Mai 03;984.3;-0.2;0.4
Jun 03;984.3;0;0.5
Jul 03;976.4;-0.8;0.3
Aug 03;978.7;0.2;0.5
Sep 03;980.1;0.1;0.5
Okt 03;985.1;0.5;0.5
Nov 03;983.8;-0.1;0.5
Dez 03;984;0;0.6
Jan 04;980.7;-0.3;0.2
Feb 04;980.9;0;0.1
Mär 04;983;0.2;-0.1
Apr 04;991.3;0.8;0.5
Mai 04;993.5;0.2;0.9
Jun 04;995.3;0.2;1.1
Jul 04;984.8;-1;0.9
Aug 04;988.5;0.4;1
Sep 04;988.5;0;0.9
Okt 04;997.8;0.9;1.3
Nov 04;998.8;0.1;1.5
Dez 04;997.1;-0.2;1.3
Jan 05;992.5;-0.5;1.2
Feb 05;994.7;0.2;1.4
Mär 05;997.1;0.2;1.4
Apr 05;1005.3;0.8;1.4
Mai 05;1004.3;-0.1;1.1
Jun 05;1002;-0.2;0.7
Jul 05;996.6;-0.5;1.2
Aug 05;998;0.1;1
Sep 05;1002.4;0.4;1.4
Okt 05;1011.1;0.9;1.3
Nov 05;1008.3;-0.3;1
Dez 05;1007.2;-0.1;1
Jan 06;1005.3;-0.2;1.3
Feb 06;1008.5;0.3;1.4
Mär 06;1007.4;-0.1;1
Apr 06;1015.9;0.8;1.1
Mai 06;1018;0.2;1.4
Jun 06;1017.7;0;1.6
Jul 06;1010.8;-0.7;1.4
Aug 06;1012.5;0.2;1.5
Sep 06;1010.3;-0.2;0.8
Okt 06;1013.7;0.3;0.3
Nov 06;1013.3;0;0.5
Dez 06;1013.4;0;0.6
Jan 07;1006.4;-0.7;0.1
Feb 07;1008.3;0.2;0
Mär 07;1009.1;0.1;0.2
Apr 07;1020.6;1.1;0.5
Mai 07;1022.9;0.2;0.5
Jun 07;1024.1;0.1;0.6
Jul 07;1018;-0.6;0.7
Aug 07;1016.9;-0.1;0.4
Sep 07;1017.9;0.1;0.7
Okt 07;1026.6;0.9;1.3
Nov 07;1031.2;0.5;1.8
Dez 07;1033.7;0.2;2
Jan 08;1030.8;-0.3;2.4
Feb 08;1032.2;0.1;2.4
Mär 08;1035.7;0.3;2.6
Apr 08;1043.9;0.8;2.3
Mai 08;1052.1;0.8;2.9
Jun 08;1053.9;0.2;2.9
Jul 08;1049.3;-0.4;3.1
Aug 08;1046.6;-0.3;2.9
Sep 08;1047.7;0.1;2.9
Okt 08;1053.2;0.5;2.6
Nov 08;1046.2;-0.7;1.5
Dez 08;1041;-0.5;0.7
Jan 09;1032.2;-0.8;0.1
Feb 09;1034.6;0.2;0.2
Mär 09;1031.3;-0.3;-0.4
Apr 09;1040.4;0.9;-0.3
Mai 09;1042;0.2;-1
Jun 09;1043.9;0.2;-1
Jul 09;1037;-0.7;-1.2
Aug 09;1038.1;0.1;-0.8
Sep 09;1038;0;-0.9
Okt 09;1044.4;0.6;-0.8
Nov 09;1046.5;0.2;0
Dez 09;1043.9;-0.2;0.3
Jan 10;1042.8;-0.1;1
Feb 10;1044.3;0.1;0.9
Mär 10;1045.7;0.1;1.4
Apr 10;1054.7;0.9;1.4
Mai 10;1053.6;-0.1;1.1
Jun 10;1049;-0.4;0.5
Jul 10;1041.3;-0.7;0.4
Aug 10;1041.2;0;0.3
Sep 10;1040.9;0;0.3
Okt 10;1046.5;0.5;0.2
Nov 10;1049;0.2;0.2
Dez 10;1049.4;0;0.5
Jan 11;1045.7;-0.4;0.3
Feb 11;1049.6;0.4;0.5
Mär 11;1056.2;0.6;1
Apr 11;1057.4;0.1;0.3
Mai 11;1057.5;0;0.4
